id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,46,18407,best,0.5847046971321106,0.5653084516525269,0.5099262595176697,0.566092848777771,0.6245590448379517,0.6068037748336792,0.6237791180610657,0.6276143193244934,0.6040891408920288,0.9999966025352478,0.6180911660194397,0.6006746888160706,0.5354876518249512,0.9999966025352478
1,gini,47,33207,random,0.4512506425380707,0.513156533241272,0.4932284951210022,0.5634270906448364,0.5810666084289551,0.43164199590682983,0.5375773906707764,0.5686042308807373,0.44455432891845703,0.9999966025352478,0.45952606201171875,0.41439691185951233,0.49238061904907227,0.9999966025352478
2,entropy,54,16534,best,0.5337281823158264,0.5515385866165161,0.5094557404518127,0.5743808746337891,0.6163825988769531,0.5657771229743958,0.6001787781715393,0.6223433613777161,0.567068874835968,0.9999966025352478,0.5772770643234253,0.5604488253593445,0.5212979912757874,0.9999966025352478
3,entropy,50,34269,random,0.5733931064605713,0.5551403164863586,0.5192483067512512,0.5805444121360779,0.6165248155593872,0.5857570171356201,0.6156843900680542,0.6248383522033691,0.5654805302619934,0.9999966025352478,0.5934023261070251,0.5858131051063538,0.5391188263893127,0.9999966025352478
4,log_loss,54,16535,best,0.529463529586792,0.5539137721061707,0.5094456076622009,0.5719350576400757,0.6159932613372803,0.5572215914726257,0.6036556959152222,0.6230102777481079,0.5638379454612732,0.9999966025352478,0.5704430937767029,0.5519545674324036,0.5196634531021118,0.9999966025352478
5,log_loss,47,34503,random,0.5732882022857666,0.5646680593490601,0.5173764228820801,0.592749834060669,0.622195839881897,0.5932862758636475,0.6247134804725647,0.63006192445755,0.5624731183052063,0.9999966025352478,0.603807270526886,0.5843973755836487,0.5474336743354797,0.9999966025352478
