id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,47,20712,best,0.4767439365386963,0.6496282815933228,0.5397439002990723,0.6604105830192566,0.644676685333252,0.4897424876689911,0.5013355612754822,0.6521581411361694,0.5792847871780396,0.5400269031524658,0.5391572713851929,0.4901171326637268,0.9999966025352478,0.9999966025352478
1,gini,54,38613,random,0.512946367263794,0.47774261236190796,0.42698583006858826,0.5298386216163635,0.43896982073783875,0.5217631459236145,0.5394834280014038,0.4238058030605316,0.5080553293228149,0.5469602346420288,0.5628442168235779,0.5292083621025085,0.9999966025352478,0.9999966025352478
2,entropy,60,19588,best,0.47697409987449646,0.6645874381065369,0.5889773964881897,0.7006464600563049,0.6907421946525574,0.48202013969421387,0.497086763381958,0.6760249137878418,0.5981758832931519,0.5496970415115356,0.5381451845169067,0.4863475263118744,0.9999966025352478,0.9999966025352478
3,entropy,51,39150,random,0.5197427868843079,0.6190595626831055,0.5383120775222778,0.6334119439125061,0.6194331049919128,0.535118043422699,0.5426387190818787,0.6132062673568726,0.5759353041648865,0.5559089183807373,0.5719493627548218,0.5364020466804504,0.9999966025352478,0.9999966025352478
4,log_loss,59,19560,best,0.47391098737716675,0.6590035557746887,0.584746241569519,0.6955146789550781,0.6855587363243103,0.4778406023979187,0.49349814653396606,0.6730390191078186,0.5964351296424866,0.5485522150993347,0.534970223903656,0.48316726088523865,0.9999966025352478,0.9999966025352478
5,log_loss,49,37819,random,0.4843493103981018,0.5428274273872375,0.4884320795536041,0.570223331451416,0.5482357144355774,0.4957340657711029,0.5042674541473389,0.5142151117324829,0.5052409768104553,0.5156669616699219,0.5451314449310303,0.4960407614707947,0.9999966025352478,0.9999966025352478
