id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,47,20788,best,0.9999932050704956,0.4421965181827545,0.415578693151474,0.43399176001548767,0.43422648310661316,0.6341368556022644,0.5383188128471375,0.4391888678073883,0.5069173574447632,0.537005603313446,0.5900141000747681,0.6546308398246765,0.47244134545326233,0.9999932050704956
1,gini,51,41356,random,0.9999932050704956,0.48181191086769104,0.4538891017436981,0.47106799483299255,0.4780608117580414,0.6198809742927551,0.5297162532806396,0.4853278696537018,0.5164510011672974,0.5385094881057739,0.5799815058708191,0.652398943901062,0.5051624774932861,0.9999932050704956
2,entropy,57,19832,best,0.9999932050704956,0.48187965154647827,0.4537096917629242,0.4659057557582855,0.4691903591156006,0.639122486114502,0.5494232773780823,0.47155284881591797,0.5384578704833984,0.5731797218322754,0.6080687046051025,0.6689742803573608,0.5122082233428955,0.9999932050704956
3,entropy,49,40262,random,0.9999932050704956,0.4800974428653717,0.42009755969047546,0.46450522541999817,0.4738321006298065,0.6189122796058655,0.5149859189987183,0.4753038287162781,0.5220763087272644,0.5174384117126465,0.5817754864692688,0.6658820509910583,0.5027056336402893,0.9999932050704956
4,log_loss,56,19827,best,0.9999932050704956,0.47923004627227783,0.4506801962852478,0.46294236183166504,0.46387484669685364,0.6410226225852966,0.5488579273223877,0.46942347288131714,0.5390810370445251,0.5691490769386292,0.6094937324523926,0.6646390557289124,0.5085533857345581,0.9999932050704956
5,log_loss,45,39187,random,0.9999932050704956,0.49916648864746094,0.4270637035369873,0.47836485505104065,0.48655208945274353,0.612781822681427,0.5463018417358398,0.4822438061237335,0.5300757884979248,0.5648203492164612,0.6071819067001343,0.6433119773864746,0.5251051783561707,0.9999932050704956
