id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,47,26556,best,0.648766279220581,0.4835466742515564,0.4042697250843048,0.4443940818309784,0.4489169120788574,0.7013043165206909,0.6425991058349609,0.45466333627700806,0.5446792840957642,0.5177093744277954,0.6351743340492249,0.9999898672103882,0.5002690553665161,0.9999898672103882
1,gini,54,51058,random,0.657728910446167,0.5564583539962769,0.47449642419815063,0.5314759016036987,0.5344831347465515,0.7064085602760315,0.6461471319198608,0.5246081352233887,0.5872402191162109,0.5979359149932861,0.6650588512420654,0.9999898672103882,0.5671935677528381,0.9999898672103882
2,entropy,45,25213,best,0.6786393523216248,0.5622183680534363,0.5242918133735657,0.5359176397323608,0.5344695448875427,0.7311403751373291,0.6753031015396118,0.5344222784042358,0.5962895154953003,0.6105020046234131,0.692266047000885,0.9999898672103882,0.5802258849143982,0.9999898672103882
3,entropy,54,50223,random,0.6116940379142761,0.4320555031299591,0.3812049627304077,0.42114022374153137,0.4265376031398773,0.6736258268356323,0.6195269227027893,0.41891399025917053,0.49731263518333435,0.48040738701820374,0.599437415599823,0.9999898672103882,0.4460417628288269,0.9999898672103882
4,log_loss,44,25234,best,0.6803553700447083,0.5663723349571228,0.5255644917488098,0.5377985239028931,0.537401556968689,0.7326374053955078,0.6760106682777405,0.5341751575469971,0.6028597354888916,0.6128187775611877,0.6907191872596741,0.9999898672103882,0.5848350524902344,0.9999898672103882
5,log_loss,59,50374,random,0.6532881855964661,0.5586166381835938,0.49342143535614014,0.5360089540481567,0.5458793044090271,0.6949841976165771,0.6399990320205688,0.5424286723136902,0.5926047563552856,0.5888720750808716,0.652010440826416,0.9999898672103882,0.570486307144165,0.9999898672103882
