id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,53,16431,best,0.5488712191581726,0.5261673927307129,0.44246840476989746,0.5340942740440369,0.5342968702316284,0.5717822909355164,0.44476041197776794,0.43178170919418335,1.0,0.4656871259212494,0.6002464294433594,0.59324049949646,0.6062870621681213,1.0
1,gini,49,31466,random,0.5656896233558655,0.46468430757522583,0.3965487480163574,0.49388208985328674,0.48814335465431213,0.5772522687911987,0.48931366205215454,0.41298621892929077,1.0,0.48201966285705566,0.5913172960281372,0.5954961180686951,0.5439310669898987,1.0
2,entropy,52,15948,best,0.5718869566917419,0.5568073391914368,0.46867436170578003,0.5677571892738342,0.553930401802063,0.5748644471168518,0.49099287390708923,0.4860895872116089,1.0,0.503646194934845,0.5901393294334412,0.60065096616745,0.6169504523277283,1.0
3,entropy,50,30864,random,0.5744829773902893,0.5254084467887878,0.4621279537677765,0.5350685119628906,0.5334233641624451,0.5780922174453735,0.5155208706855774,0.4157622158527374,1.0,0.5162021517753601,0.6074188351631165,0.6017821431159973,0.5783544182777405,1.0
4,log_loss,52,15916,best,0.5755051374435425,0.5564718842506409,0.47080686688423157,0.5645908117294312,0.5529079437255859,0.5830914378166199,0.4937283396720886,0.48435288667678833,1.0,0.5047910213470459,0.5943500399589539,0.6038143038749695,0.6172956228256226,1.0
5,log_loss,50,30583,random,0.5808867812156677,0.5270923972129822,0.4364635944366455,0.5493341088294983,0.5171010494232178,0.589018702507019,0.5276951193809509,0.49170589447021484,1.0,0.5349428653717041,0.5988044738769531,0.6066321730613708,0.5967099666595459,1.0
