id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,54,17927,best,0.5103232264518738,0.4510025680065155,0.39936497807502747,0.3606612980365753,0.3544904291629791,0.550085186958313,0.9999898672103882,0.3537188172340393,0.5381733775138855,0.533825159072876,0.5649258494377136,0.6139512062072754,0.4880658686161041,0.9999898672103882
1,gini,49,35118,random,0.5426231026649475,0.4804565906524658,0.35115036368370056,0.35248488187789917,0.32069799304008484,0.589374303817749,0.9999898672103882,0.32158163189888,0.5303365588188171,0.5431734919548035,0.6122252941131592,0.6158783435821533,0.5146685242652893,0.9999898672103882
2,entropy,54,16528,best,0.5274835228919983,0.47105422616004944,0.42488721013069153,0.39389798045158386,0.39676058292388916,0.5713182687759399,0.9999898672103882,0.3928332030773163,0.5371235013008118,0.5234403610229492,0.5747316479682922,0.6141543984413147,0.49066150188446045,0.9999898672103882
3,entropy,51,35338,random,0.5526383519172668,0.46693751215934753,0.3538007438182831,0.3474951684474945,0.32197439670562744,0.5888222455978394,0.9999898672103882,0.32028841972351074,0.5290529727935791,0.5556413531303406,0.5984389185905457,0.6136361956596375,0.48065802454948425,0.9999898672103882
4,log_loss,56,16530,best,0.5259807109832764,0.48656561970710754,0.4233098328113556,0.40499716997146606,0.4067923426628113,0.5677077174186707,0.9999898672103882,0.40549442172050476,0.542826771736145,0.5295743346214294,0.5752868056297302,0.6123695373535156,0.5042927861213684,0.9999898672103882
5,log_loss,51,34061,random,0.5385682582855225,0.44577789306640625,0.3394318222999573,0.33200159668922424,0.2976042926311493,0.5822514891624451,0.9999898672103882,0.31026777625083923,0.522797703742981,0.4914289712905884,0.5955144166946411,0.6041292548179626,0.43571001291275024,0.9999898672103882
