id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,54,25057,best,0.6914638876914978,0.5632822513580322,0.48209214210510254,0.5345069766044617,0.5379026532173157,1.0,0.639904260635376,0.5547479391098022,0.6112012267112732,0.6175606846809387,0.6796813011169434,0.6766624450683594,0.5727537274360657,1.0
1,gini,59,47970,random,0.6372414827346802,0.5508033633232117,0.5144112706184387,0.5357349514961243,0.5434010028839111,1.0,0.5845106244087219,0.5458512306213379,0.5804159641265869,0.6008386611938477,0.6593385338783264,0.650769829750061,0.5602154731750488,1.0
2,entropy,47,23899,best,0.7166525721549988,0.5792883038520813,0.5317724347114563,0.5586572885513306,0.5557553172111511,1.0,0.6514319181442261,0.5570499897003174,0.6276640892028809,0.6657149195671082,0.6968896985054016,0.6790366172790527,0.5914171934127808,1.0
3,entropy,60,46580,random,0.6070976257324219,0.5475608110427856,0.5106844902038574,0.5354101657867432,0.5387389063835144,1.0,0.5435562133789062,0.5399438142776489,0.5776151418685913,0.57267165184021,0.6374252438545227,0.602307140827179,0.556252658367157,1.0
4,log_loss,47,23895,best,0.7182095050811768,0.584526538848877,0.5326288342475891,0.5600577592849731,0.5603293776512146,1.0,0.6528165936470032,0.5580994486808777,0.6319414973258972,0.6679943799972534,0.698263943195343,0.6767640709877014,0.5961042046546936,1.0
5,log_loss,61,48071,random,0.6593061685562134,0.5592807531356812,0.4973513185977936,0.5480046272277832,0.5553523898124695,1.0,0.5911293029785156,0.555902361869812,0.59261155128479,0.6211916208267212,0.6547250151634216,0.6422687768936157,0.5711394548416138,1.0
