id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,47,23774,best,0.5860010385513306,0.5306839346885681,0.4242711365222931,0.49615198373794556,0.5035109519958496,0.6625367999076843,0.5898191332817078,0.4886488914489746,0.5896278619766235,0.5649897456169128,0.9999966025352478,0.6966720819473267,0.5474472045898438,0.9999966025352478
1,gini,51,46664,random,0.5610322952270508,0.5209054946899414,0.43955740332603455,0.48585113883018494,0.5046214461326599,0.6271224021911621,0.5530728697776794,0.48261281847953796,0.5663779973983765,0.5542899370193481,0.9999966025352478,0.6485751271247864,0.5367600917816162,0.9999966025352478
2,entropy,50,22626,best,0.6003350615501404,0.5633635520935059,0.4745370149612427,0.5255727767944336,0.5411901473999023,0.666465699672699,0.6126577258110046,0.530508816242218,0.5962048172950745,0.598433792591095,0.9999966025352478,0.6842862963676453,0.5594100952148438,0.9999966025352478
3,entropy,59,44379,random,0.5319309234619141,0.5389987230300903,0.44149017333984375,0.514463484287262,0.5347945690155029,0.6021161675453186,0.5024663209915161,0.5159111618995667,0.5739676356315613,0.5393257737159729,0.9999966025352478,0.618513286113739,0.5460799932479858,0.9999966025352478
4,log_loss,51,22656,best,0.6021526455879211,0.5630959272384644,0.47877153754234314,0.5264489650726318,0.5395582318305969,0.6658221483230591,0.6152239441871643,0.528904139995575,0.5978609323501587,0.59881991147995,0.9999966025352478,0.6846622228622437,0.5618398785591125,0.9999966025352478
5,log_loss,52,45017,random,0.5742833018302917,0.5031070113182068,0.4273040294647217,0.46334153413772583,0.4868500232696533,0.6323010921478271,0.5967932343482971,0.47242966294288635,0.5612335801124573,0.5519629716873169,0.9999966025352478,0.655196487903595,0.5161033868789673,0.9999966025352478
