id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,47,13898,best,0.447429358959198,0.5020803809165955,0.48609310388565063,0.5421353578567505,0.5362572073936462,0.4590766429901123,0.45954829454421997,1.0,0.4850628674030304,0.4840315878391266,0.45286813378334045,0.4571154713630676,0.5039543509483337,1.0
1,gini,46,25123,random,0.47111186385154724,0.5292710661888123,0.479726105928421,0.5573785305023193,0.5443218946456909,0.4767161011695862,0.4811173379421234,1.0,0.5014681220054626,0.49374914169311523,0.4735865890979767,0.472705215215683,0.5160221457481384,1.0
2,entropy,51,12949,best,0.45838889479637146,0.5143051743507385,0.474141001701355,0.5232250690460205,0.5094629526138306,0.4661283493041992,0.4605030119419098,1.0,0.480727881193161,0.47275257110595703,0.4593466520309448,0.4622431993484497,0.5038393139839172,1.0
3,entropy,55,24700,random,0.45348790287971497,0.513407289981842,0.4780336320400238,0.5329305529594421,0.5109153985977173,0.4635779559612274,0.4562542140483856,1.0,0.48598068952560425,0.4824701249599457,0.46102213859558105,0.46356406807899475,0.5020694136619568,1.0
4,log_loss,51,12951,best,0.45716366171836853,0.5167210102081299,0.47701138257980347,0.5265470743179321,0.5224876403808594,0.4666804373264313,0.4607061445713043,1.0,0.4829123020172119,0.47520822286605835,0.46071749925613403,0.4636690616607666,0.5063063502311707,1.0
5,log_loss,44,25213,random,0.4517820179462433,0.5352106690406799,0.4828571379184723,0.5440737009048462,0.5171586275100708,0.4663383662700653,0.4565589129924774,1.0,0.49131476879119873,0.502372682094574,0.46466758847236633,0.467343807220459,0.5185940861701965,1.0
