id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,51,19476,best,0.46542224287986755,0.49224770069122314,0.9999898672103882,0.48433223366737366,0.5198603868484497,0.4605161249637604,0.462629109621048,0.48197975754737854,0.4793460965156555,0.47782644629478455,0.453338623046875,0.4520453214645386,0.47659027576446533,0.9999898672103882
1,gini,47,36846,random,0.5195599794387817,0.49860066175460815,0.9999898672103882,0.4799615740776062,0.501008927822113,0.5084996819496155,0.5111264586448669,0.5186194777488708,0.5270074009895325,0.5066302418708801,0.5009223818778992,0.499600350856781,0.5319715738296509,0.9999898672103882
2,entropy,72,18153,best,0.5190048813819885,0.5135089159011841,0.9999898672103882,0.4827490448951721,0.5164611339569092,0.5110094547271729,0.518923282623291,0.46796438097953796,0.515363872051239,0.48154544830322266,0.5015451908111572,0.49994581937789917,0.5181846022605896,0.9999898672103882
3,entropy,45,34731,random,0.5183042883872986,0.501094400882721,0.9999898672103882,0.45780038833618164,0.4917050898075104,0.5187927484512329,0.5181242823600769,0.5073800683021545,0.5493224859237671,0.5057767033576965,0.5181477069854736,0.5203618407249451,0.5479176044464111,0.9999898672103882
4,log_loss,72,18137,best,0.5191538333892822,0.5133700370788574,0.9999898672103882,0.486307829618454,0.5145516395568848,0.5109789371490479,0.519888162612915,0.4707099199295044,0.5156584978103638,0.4801296591758728,0.5013387203216553,0.5002607703208923,0.518668532371521,0.9999898672103882
5,log_loss,45,34404,random,0.5774140954017639,0.5373655557632446,0.9999898672103882,0.47949135303497314,0.49740657210350037,0.5741735100746155,0.57635498046875,0.48871999979019165,0.5690670609474182,0.5266106724739075,0.5729851126670837,0.5746025443077087,0.5777825117111206,0.9999898672103882
