id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,43,17890,best,0.4934980571269989,0.5378365516662598,0.4725060760974884,0.5804125070571899,1.0,0.4856814742088318,0.4861922264099121,0.5150377750396729,0.5094269514083862,0.5400607585906982,0.48443493247032166,0.4841156005859375,0.5401104092597961,1.0
1,gini,47,35643,random,0.507239818572998,0.5433831214904785,0.46803122758865356,0.5595909357070923,1.0,0.5044522285461426,0.5042640566825867,0.5323944687843323,0.5077945590019226,0.540473997592926,0.5027941465377808,0.5022082328796387,0.5529227256774902,1.0
2,entropy,62,17125,best,0.5172414779663086,0.5714750289916992,0.46801429986953735,0.5787244439125061,1.0,0.5209841132164001,0.5172440409660339,0.5386878252029419,0.5434296131134033,0.563529908657074,0.5227307081222534,0.5222381949424744,0.5647807121276855,1.0
3,entropy,49,33937,random,0.549443244934082,0.570831298828125,0.46811923384666443,0.5697497129440308,1.0,0.5443103313446045,0.5457161664962769,0.4948948919773102,0.5346850752830505,0.553199291229248,0.54201740026474,0.5395010709762573,0.5769737362861633,1.0
4,log_loss,64,17137,best,0.5277407169342041,0.5748632550239563,0.47010958194732666,0.5788090229034424,1.0,0.5333974361419678,0.5296112895011902,0.5432377457618713,0.5521131157875061,0.5693997144699097,0.53415447473526,0.5344749093055725,0.5735828280448914,1.0
5,log_loss,52,35854,random,0.5026569366455078,0.5365151166915894,0.4655771851539612,0.5588433146476746,1.0,0.49928027391433716,0.5009598135948181,0.5467889904975891,0.5319215059280396,0.5240635275840759,0.5032985210418701,0.5054968595504761,0.540381133556366,1.0
