id,criterion,depth,leaves,splitter,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,gini,41,19260,best,0.5721881985664368,1.0,0.5342840552330017,0.5663262605667114,0.6461291313171387,0.5676873922348022,0.5846900939941406,0.6224347352981567,0.6252188682556152,0.5645087361335754,0.5589550137519836,0.5648043155670166,0.584855318069458,1.0
1,gini,45,36155,random,0.5573633313179016,1.0,0.513097882270813,0.5457718968391418,0.6257711052894592,0.5664714574813843,0.5683685541152954,0.6179559230804443,0.6067273616790771,0.5697282552719116,0.5673967599868774,0.5742469429969788,0.5698467493057251,1.0
2,entropy,46,17819,best,0.5917075872421265,1.0,0.5367787480354309,0.5644081234931946,0.6549353003501892,0.5825461149215698,0.5948601365089417,0.6130065321922302,0.6267598271369934,0.5750493407249451,0.5751818418502808,0.5793374180793762,0.6144529581069946,1.0
3,entropy,46,35762,random,0.5754239559173584,1.0,0.5077057480812073,0.5561776161193848,0.6218200325965881,0.5786172151565552,0.5835152864456177,0.6049019694328308,0.5969973206520081,0.5727834105491638,0.571482241153717,0.5852610468864441,0.5789263248443604,1.0
4,log_loss,45,17802,best,0.5837535858154297,1.0,0.5412670969963074,0.567124605178833,0.6565672159194946,0.5717517733573914,0.5865961313247681,0.6122279167175293,0.6229091286659241,0.5711948871612549,0.5655418634414673,0.5682318806648254,0.6137388944625854,1.0
5,log_loss,48,35583,random,0.5817532539367676,1.0,0.51535564661026,0.5330252647399902,0.6188406348228455,0.5743089914321899,0.5785690546035767,0.5997461080551147,0.6086882948875427,0.5764380693435669,0.5592122673988342,0.5824905633926392,0.575657308101654,1.0
